stock_id,date,eps
1219,2022-06-30,0.42
1219,2022-09-30,-0.1
1219,2022-12-31,0.05
1219,2023-03-31,0.19
1219,2023-06-30,0.23
1219,2023-09-30,0.28
1219,2023-12-31,0.24
1219,2024-03-31,0.15
1219,2024-06-30,0.17
1219,2024-09-30,0.04
1219,2024-12-31,0.17
1219,2025-03-31,0.1
1219,2025-06-30,-0.04
1219,2025-09-30,0.19
1220,2017-03-31,0.05
1220,2017-06-30,0.13
1220,2017-09-30,0.2
1220,2017-12-31,0.06
1220,2018-03-31,0.18
1220,2018-06-30,0.15
1220,2018-09-30,0.09
1220,2018-12-31,0.11
1220,2019-03-31,0.05
1220,2019-06-30,0.14
1220,2019-09-30,0.27
1220,2019-12-31,0.25
1220,2020-03-31,0.09
1220,2020-06-30,0.3
1220,2020-09-30,0.31
1220,2020-12-31,0.32
1220,2021-03-31,0.37
1220,2021-06-30,0.32
1220,2021-09-30,0.16
1220,2021-12-31,0.15
1220,2022-03-31,0.19
1220,2022-06-30,0.1
1220,2022-09-30,-0.09
1220,2022-12-31,0.06
1220,2023-03-31,-0.04
1220,2023-06-30,0.2
1220,2023-09-30,0.23
1220,2023-12-31,0.37
1220,2024-03-31,0.29
1220,2024-06-30,0.43
1220,2024-09-30,0.34
1220,2024-12-31,0.12
1220,2025-03-31,-0.1
1220,2025-06-30,-0.01
1220,2025-09-30,0.24
1225,2017-03-31,0.37
1225,2017-06-30,0.33
1225,2017-09-30,0.41
1225,2017-12-31,0.02
1225,2018-03-31,0.38
1225,2018-06-30,0.34
1225,2018-09-30,0.07
1225,2018-12-31,0.38
1225,2019-03-31,0.36
1225,2019-06-30,0.33
1225,2019-09-30,0.42
1225,2019-12-31,0.44
1225,2020-03-31,0.36
1225,2020-06-30,0.29
1225,2020-09-30,0.39
1225,2020-12-31,0.68
1225,2021-03-31,0.91
1225,2021-06-30,0.47
1225,2021-09-30,0.13
1225,2021-12-31,0.56
1225,2022-03-31,0.94
1225,2022-06-30,0.67
1225,2022-09-30,-0.05
1225,2022-12-31,0.13
1225,2023-03-31,0.3
1225,2023-06-30,0.18
1225,2023-09-30,0.54
1225,2023-12-31,0.58
1225,2024-03-31,0.31
1225,2024-06-30,0.59
1225,2024-09-30,0.3
1225,2024-12-31,0.3
1225,2025-03-31,0.38
1225,2025-06-30,0.42
1225,2025-09-30,0.32
1227,2017-03-31,0.68
1227,2017-06-30,0.24
1227,2017-09-30,0.74
1227,2017-12-31,0.73
1227,2018-03-31,0.82
1227,2018-06-30,0.39
1227,2018-09-30,1.19
1227,2018-12-31,0.85
1227,2019-03-31,0.87
1227,2019-06-30,0.67
1227,2019-09-30,1.15
1227,2019-12-31,1.07
1227,2020-03-31,0.67
1227,2020-06-30,1.08
1227,2020-09-30,1.04
1227,2020-12-31,0.75
1227,2021-03-31,0.62
1227,2021-06-30,0.9
