stock_id,date,cash_dividend,stock_dividend
1307,2018-07-16,1.7,0.0
1307,2019-07-09,0.5,0.0
1307,2020-09-02,0.8,0.0
1307,2021-09-03,0.5,0.0
1307,2022-07-13,0.5,0.0
1307,2023-07-09,0.8,0.0
1307,2024-08-31,1.5,0.0
1307,2025-07-16,2.7,0.0
1308,2017-08-04,0.6,0.3
1308,2018-08-03,0.2,0.7
1308,2019-08-02,0.3,0.0
1308,2020-07-29,0.6,0.5
1308,2021-09-10,1.2,0.2
1308,2022-08-05,3.0,0.0
1308,2023-08-04,1.2,0.0
1308,2024-08-02,0.45,0.0
1308,2025-08-01,0.25,0.0
1309,2019-08-02,0.2,0.2
1309,2020-07-29,0.3,0.3
1309,2021-09-10,2.0,1.0
1309,2022-08-05,2.0,0.5
1309,2023-08-04,0.5,0.0
1309,2024-08-02,0.3,0.0
1309,2025-08-01,0.2,0.0
1310,2017-07-07,2.2,0.0
1310,2018-07-30,1.6,0.0
1310,2019-09-01,2.0,0.0
1310,2020-07-25,1.0,0.0
1310,2021-07-30,0.5,0.0
1310,2022-09-20,0.15,0.0
1310,2023-10-13,0.2,0.0
1312,2017-07-22,1.0,0.0
1312,2018-07-22,1.0,0.0
1312,2019-07-22,0.0,0.0
1312,2021-08-24,0.1,0.0
1312,2022-07-22,2.0,0.0
1312,2023-08-04,0.5,0.0
1312,2023-12-04,0.0,0.0
1313,2017-08-30,0.6,0.25
1313,2018-07-22,1.0,0.8
1313,2019-07-22,0.1984542,0.0
1313,2019-09-01,0.0,0.2976813
1313,2020-04-07,0.2,0.0
1313,2021-04-16,1.0,0.0
1313,2022-04-01,1.0,0.0
1313,2023-03-30,0.2,0.0
1313,2024-03-30,0.2,0.0
1313,2025-07-02,0.14996897,0.0
1314,2019-07-04,0.5,0.5
1314,2020-08-17,0.3,0.0
1314,2021-12-03,0.0,0.0
1314,2022-07-03,0.4,0.0
1315,2017-08-01,1.1,0.0
1315,2018-07-25,1.1,0.0
1315,2019-07-07,1.2,0.0
1315,2020-06-27,3.65,0.0
1315,2020-12-05,4.0,0.0
1315,2021-07-07,4.0,0.0
1315,2021-09-06,2.0,0.0
1315,2022-04-23,2.5,0.0
1315,2022-09-11,2.5,0.0
1315,2023-04-22,3.5,0.0
1315,2023-09-06,2.5,0.0
1315,2024-04-17,2.5,0.0
1315,2024-09-04,2.5,0.0
1315,2025-04-16,2.5,0.0
1315,2025-09-07,2.0,0.0
1316,2018-11-26,2.2630251,0.0
1316,2019-08-07,1.88503724,0.0
1316,2023-08-28,0.0,0.0
